2239	abeja=2;	bee=2;	abeille=2;
2242	abrigo=2;vestido=2;	coat=2;dress=2;	manteau=2;vêtement=2;
2243	abuela=2;yaya=2;abuelita=2;	grandmother=2;granny=2;grandma=2;	grand-mère=2;mamy=2;mamy=2;
2244	abuelo=2;yayo=2;abuelito=2;	grandfather=2;grandpa=2;grandpa=2;	grand-père=2;papy=2;papy=2;
2245	aburrido=4;aburrir=3;aburrido=4;	bore=4;to get tired=3;boring=4;	ennuyeux=4;s'ennuyer=3;ennuyeux=4;
2246	aceite=2;aceite de oliva=2;	oil=2;olive oil=2;	huile=2;huile d'olive=2;
2247	acera=2;	pavement=2;	trottoir=2;
2248	agua=2;bebida=2;	water=2;drink=2;	eau=2;boisson=2;
2249	alfombra=2;	carpet=2;	tapis=2;
2250	almohada=2;	pillow=2;	oreiller=2;
2251	ambulancia=2;	ambulance=2;	ambulance=2;
2252	anillo=2;joya=2;	ring=2;jewel=2;	bague=2;bijou=2;
2253	antena parabólica=2;antena=2;parabólica=4;	satellite dish=2;antenna=2;dish antenna=4;	antenne parabolique=2;antenne=2;parabolique=4;
2254	araña=2;	spider=2;	araignée=2;
2255	amigos=2;	friends=2;	amis=2;
2256	árbol=2;	tree=2;	arbre=2;
2257	ardilla=2;	squirrel=2;	écureuil=2;
2258	armario=2;	wardrobe=2;	armoire=2;
2259	arroz=2;arroz con tomate=2;	rice=2;rice and tomato sauce=2;	riz=2;
2260	ascensor=2;	lift=2;	ascenseur=2;
2261	asustado=4;asustarse=3;aterrorizado=4;asustar=3;	scared=4;to be frightened=3;to be scared=3;terrorized=4;to scare=3;	effrayé=4;avoir peur=3;terrorisé=4;faire peur=3;
2262	autobús=2;	bus=2;	autobus=2;
2263	autobús=2;	bus=2;	autobus=2;
2264	avión=2;aeroplano=2;aeronave=2;	aeroplane=2;aeroplane=2;airliner=2;aircraft=2;	avion=2;aéroplane=2;aéronef=2;
2265	azúcar=2;azúcar=2;	sugar=2;blood sugar=2;	sucre=2;sucre=2;
2266	azucarero=2;	sugar bowl=2;	sucrier=2;
2267	babero=2;	bib=2;	bavoir=2;
2268	ballena=2;	whale=2;	baleine=2;
2269	balón de fútbol=2;balón=2;pelota de fútbol=2;	football ball=2;ball=2;football=2;	ballon de football=2;ballon=2;ballon de football=2;
2270	bañador=2;bañador=2;bañador=2;	swimsuit=2;bathing costume=2;swimsuit=2;	maillot de bain=2;maillot de bain=2;maillot de bain=2;
2271	bañarse=3;bañar=3;	to bathe=3;to bath=3;	se baigner=3;se baigner=3;
2272	bañera=2;	bath=2;	baignoire=2;
2273	barco=2;	boat=2;	bateau=2;
2274	batidora=2;	mixer=2;	batteur=2;
2275	bebé=2;persona=2;	baby=2;person=2;	bébé=2;personne=2;
2276	beber=3;tomar=3;	to drink=3;to have=3;	boire=3;prendre=3;
2277	bicicleta=2;bici=2;	bicycle=2;bike=2;	bicyclette=2;vélo=2;
2278	bidé=2;	bidet=2;	bidet=2;
2279	bikini=2;biquini=2;	bikini=2;bikini=2;	bikini=2;biquini=2;
2280	blusa=2;	blouse=2;	blouse=2;
2281	bocadillo=2;	sandwich/roll=2;	sandwich=2;
2282	bolígrafo=2;boli=2;	ball-point pen=2;biro ®=2;	stylo=2;stylo=2;
2283	bolos=2;	bowls=2;	quilles=2;
2284	bolso=2;	handbag=2;	sac=2;
2285	bombilla=2;	light bulb=2;	ampoule=2;
2286	borrar=3;	erase=3;	effacer=3;
2287	botas=2;calzado=2;botas de agua=2;	boots=2;shoes=2;rubber boots=2;	bottes=2;chaussures=2;bottes de pluie=2;
2288	botella=2;casco=2;	bottle=2;bottle=2;	bouteille=2;bouteille vide=2;
2289	bragas=2;braga=2;	panties=2;panties=2;	culottes=2;culotte=2;
2290	bufanda=2;vestido=2;	scarf=2;dress=2;	écharpe=2;vêtement=2;
2291	burro=2;asno=2;	donkey=2;ass=2;	âne=2;âne=2;
2292	buzón=2;	post-box=2;	boîte à lettres=2;
